Station,Year,Month,Day,Hour,Temperature (°C),Wet Bulb Temperature (°C),Dew Point Temperature (°C),RH (%),Scalar Mean Wind Direction (°),Scalar Mean Wind Speed (m/s),SLP (hPa)
S44,2010,1,3,14,30.1,24.1,21.8,61,36,1.4,—
S44,2010,1,3,15,29.3,24.5,22.8,68,349,1.3,—
S44,2010,1,3,16,30.7,24.8,22.6,62,45,1.1,—
S44,2010,1,3,17,28.4,25.1,23.9,77,55,1.9,—
S44,2010,1,3,18,26.5,24.7,24.1,87,66,1.2,—
S44,2010,1,3,19,26.3,24.9,24.5,89,44,1.5,—
S44,2010,1,3,20,26.4,24.9,24.4,88,45,1.6,—
S44,2010,1,3,21,26.3,24.7,24.1,88,48,1.9,—
S44,2010,1,3,22,26.1,24.5,24,88,43,1.6,—
S44,2010,1,3,23,26,24.4,23.8,88,42,2,—
S44,2010,1,3,24,25.7,24.4,23.9,90,29,2.1,—
S44,2010,1,4,1,25.6,24.5,24.1,91,47,1.6,—
S44,2010,1,4,2,25.7,24.4,23.9,90,33,2.1,—
S44,2010,1,4,3,25.4,24.4,24,92,14,1.8,—
S44,2010,1,4,4,25.3,24.3,24,93,331,2.2,—
S44,2010,1,4,5,24.6,23.9,23.6,94,312,3.2,—
S44,2010,1,4,6,23,21.9,21.4,91,243,3.3,—
S44,2010,1,4,7,22.4,21.6,21.2,93,233,2.7,—
S44,2010,1,4,8,22.8,21.7,21.3,91,227,2.9,—
S44,2010,1,4,9,23.2,21.6,21,87,234,2.3,—
S44,2010,1,4,10,25.2,22.5,21.4,79,259,1.1,—
S44,2010,1,4,11,26.7,23.2,21.9,75,246,0.9,—
S44,2010,1,4,12,27.2,23,21.2,70,215,1.1,—
S44,2010,1,4,13,28.2,22.7,20.3,62,233,1.1,—
S44,2010,1,4,14,29.3,24.1,22.1,65,289,0.9,—
S44,2010,1,4,15,27.6,23.3,21.6,70,312,1.6,—
S44,2010,1,4,16,28.8,23.1,20.8,62,311,0.8,—
S44,2010,1,4,17,28.5,22.7,20.3,61,332,1.1,—
S44,2010,1,4,18,26.9,24.3,23.3,81,23,1.5,—
S44,2010,1,4,19,26.5,23.8,22.8,80,16,1.3,—
S44,2010,1,4,20,26.1,23.9,23.1,84,34,1.6,—
S44,2010,1,4,21,25.7,23.6,22.8,84,35,2.2,—
S44,2010,1,4,22,25.7,23.6,22.7,84,38,1.1,—
S44,2010,1,4,23,25.1,23.5,22.9,88,41,1.2,—
S44,2010,1,4,24,24.7,23.3,22.8,90,41,2.6,—
S44,2010,1,5,1,24.3,23.4,23,92,35,2.5,—
S44,2010,1,5,2,24.1,23.3,23.1,94,34,2.4,—
S44,2010,1,5,3,24.1,22.9,22.4,90,29,2.7,—
S44,2010,1,5,4,23.9,22.8,22.3,91,22,2.4,—
S44,2010,1,5,5,23.9,22.8,22.4,91,27,2.1,—
S44,2010,1,5,6,23.9,22.8,22.4,91,36,1.9,—
S44,2010,1,5,7,24.2,22.9,22.3,89,44,1.5,—
S44,2010,1,5,8,24.7,23.1,22.4,87,29,1.3,—
S44,2010,1,5,9,25.5,23.5,22.7,85,14,1.3,—
S44,2010,1,5,10,27.4,23.3,21.7,71,33,1.5,—
S44,2010,1,5,11,28.1,23.7,22,69,19,1,—
S44,2010,1,5,12,30.1,24.1,21.8,61,23,1,—
S44,2010,1,5,13,31,23.8,20.8,55,0,1.2,—
S44,2010,1,5,14,31.2,24,21.1,55,337,0.8,—
S44,2010,1,5,15,30.8,24,21.3,57,138,1.1,—
S44,2010,1,5,16,30.5,24.5,22.2,61,129,1.3,—
S44,2010,1,5,17,30.8,23.7,20.9,56,120,1.6,—
S44,2010,1,5,18,29.3,23.1,20.5,59,110,2.3,—
S44,2010,1,5,19,26.5,23,21.7,75,35,3.2,—
S44,2010,1,5,20,26,23.4,22.4,80,42,2.1,—
S44,2010,1,5,21,26.1,23.2,22.1,79,48,1.6,—
S44,2010,1,5,22,26.3,23.9,23,82,44,1.4,—
S44,2010,1,5,23,26.1,24.1,23.3,84,44,1,—
S44,2010,1,5,24,26.1,24.2,23.5,86,45,1.4,—
S44,2010,1,6,1,25.9,24.3,23.8,88,49,1.3,—
S44,2010,1,6,2,25.8,24.3,23.8,89,41,1.4,—
S44,2010,1,6,3,26.1,24.5,23.9,88,100,1.1,—
S44,2010,1,6,4,26.2,24.5,23.8,87,128,1.1,—
S44,2010,1,6,5,26.4,24.4,23.6,85,173,0.8,—
S44,2010,1,6,6,25.4,23.6,22.9,86,197,1.5,—
S44,2010,1,6,7,25.6,23.7,23,85,124,1.6,—
S44,2010,1,6,8,25.7,23.5,22.6,83,41,0.9,—
S44,2010,1,6,9,26.5,24.1,23.1,82,16,0.9,—
S44,2010,1,6,10,27.8,24.1,22.6,73,34,0.9,—
S44,2010,1,6,11,28.5,24.3,22.8,71,68,1.2,—
S44,2010,1,6,12,29.3,23.7,21.4,63,105,1.7,—
S44,2010,1,6,13,31.4,24.4,21.6,56,348,1,—
S44,2010,1,6,14,30.8,24.8,22.6,61,256,1.6,—
S44,2010,1,6,15,31.2,24.7,22.2,59,124,1.2,—
S44,2010,1,6,16,28.8,22.7,20.2,60,32,1.8,—
S44,2010,1,6,17,27.7,23.3,21.5,69,40,1.3,—
S44,2010,1,6,18,28.1,24.5,23.1,74,60,2,—
S44,2010,1,6,19,26.3,23.9,22.9,82,43,1.7,—
S44,2010,1,6,20,26.3,24.5,23.8,87,41,2.8,—
S44,2010,1,6,21,26.2,24.5,23.9,87,47,2.2,—
S44,2010,1,6,22,26.1,24.6,24,88,48,1.4,—
S44,2010,1,6,23,26,24.6,24.1,89,46,2.1,—
S44,2010,1,6,24,25.8,24.5,24.1,91,45,1.4,—
S44,2010,1,7,1,25.8,24.4,23.9,90,45,1.9,—
S44,2010,1,7,2,25.7,24.2,23.6,88,64,1,—
S44,2010,1,7,3,25.7,24.2,23.6,88,64,0.8,—
S44,2010,1,7,4,25.3,24.1,23.7,91,31,2.4,—
S44,2010,1,7,5,24.9,24,23.7,93,16,2,—
S44,2010,1,7,6,25.1,24.1,23.7,92,327,1.4,—
S44,2010,1,7,7,22.7,21.9,21.6,94,239,3.5,—
S44,2010,1,7,8,22.9,22.2,21.9,94,275,2.2,—
S44,2010,1,7,9,22.7,22.1,21.8,95,317,1.9,—
S44,2010,1,7,10,23.8,22.4,21.8,88,5,1.4,—
S44,2010,1,7,11,24.4,22.6,21.9,86,20,1.5,—
S44,2010,1,7,12,25.8,23.1,22.1,80,24,1.4,—
S44,2010,1,7,13,26.5,22.4,20.7,70,359,1.2,—
S44,2010,1,7,14,26.6,23,21.6,74,9,1.2,—
S44,2010,1,7,15,27,23,21.3,71,8,1.4,—
S44,2010,1,7,16,28,22.9,20.8,65,10,1.3,—
S44,2010,1,7,17,28,22.4,20,62,8,1.5,—
S44,2010,1,7,18,27.2,22.8,20.9,69,11,1.5,—
S44,2010,1,7,19,26.3,23.5,22.3,79,30,2.4,—
S44,2010,1,7,20,25.8,22.8,21.6,78,39,2.3,—
S44,2010,1,7,21,25.4,—,22,81.1,45,1.9,—
S44,2010,1,7,22,25.2,—,22.6,85.7,33,2.3,—
S44,2010,1,7,23,25,—,23,88.6,26,2.3,—
S44,2010,1,7,24,24.8,—,22.7,87.7,27,2.8,—
S44,2010,1,8,1,24.8,—,22.4,86.4,30,2.9,—
S44,2010,1,8,2,24.7,—,22.4,87.4,29,3.6,—
S44,2010,1,8,3,24.5,—,22.5,88.5,36,3.1,—
S44,2010,1,8,4,24.4,—,22.5,89.1,36,3.1,—
S44,2010,1,8,5,24.5,—,22.5,89.1,29,2.8,—
S44,2010,1,8,6,24.3,—,22.4,89.2,23,2.5,—
S44,2010,1,8,7,24.4,—,22.4,88.5,29,2.9,—
S44,2010,1,8,8,25.1,—,22.6,85.8,30,1.9,—
S44,2010,1,8,9,25.9,—,23,84,29,1.7,—
S44,2010,1,8,10,27.5,—,22.6,74.8,30,1.8,—
S44,2010,1,8,11,27.8,—,22.3,71.7,28,2.6,—
S44,2010,1,8,12,29.3,—,22.7,67.7,24,2.4,—
S44,2010,1,8,13,29.9,—,21.9,62.1,28,2.1,—
S44,2010,1,8,14,29.7,—,22.5,65.1,26,2.8,—
S44,2010,1,8,15,30.1,—,21.8,61.1,38,2.6,—
S44,2010,1,8,16,29.8,—,22.1,63.6,38,2.9,—
S44,2010,1,8,17,24.2,—,22.5,90.3,28,3.7,—
S44,2010,1,8,18,24.7,—,22.9,89.8,330,2.3,—
S44,2010,1,8,19,25.1,—,23,88.1,337,1.7,—
S44,2010,1,8,20,25.2,—,23,87.9,357,1.6,—
S44,2010,1,8,21,24.8,—,23,90,23,2.5,—
S44,2010,1,8,22,25,—,23.2,89.9,19,2.1,—
S44,2010,1,8,23,25.1,—,23.2,89.2,22,2.1,—
S44,2010,1,8,24,25.1,—,23.3,90.2,29,1.7,—
S44,2010,1,9,1,25.1,—,23.3,89.9,358,1.5,—
S44,2010,1,9,2,24.8,—,23.3,91.4,342,1.4,—
S44,2010,1,9,3,24.6,—,23.1,91.3,11,1.6,—
S44,2010,1,9,4,24.4,—,23,91.7,9,1.7,—
S44,2010,1,9,5,24,—,22.7,92.1,22,2.4,—
S44,2010,1,9,6,24,—,22.5,91.3,19,2.1,—
S44,2010,1,9,7,23.8,—,22.3,91.3,22,2.5,—
S44,2010,1,9,8,24.3,—,21.8,86.3,21,2.2,—
S44,2010,1,9,9,25.4,—,21.6,79.7,29,2.9,—
S44,2010,1,9,10,26.9,—,21,70,30,3.7,—
S44,2010,1,9,11,27.3,—,20.6,66.7,33,3.4,—
S44,2010,1,9,12,28.6,—,20.5,61.5,24,2.7,—
S44,2010,1,9,13,29.4,—,19.3,54.8,25,2.8,—
S44,2010,1,9,14,30.7,—,18.2,47.2,20,2.2,—
S44,2010,1,9,15,30.8,—,18.6,48.1,16,2.6,—
S44,2010,1,9,16,30,—,18.7,50.9,14,2.8,—
S44,2010,1,9,17,29.5,—,17.3,47.9,20,3.1,—
S44,2010,1,9,18,29.3,—,19.4,55.1,29,3.2,—
S44,2010,1,9,19,28.1,—,18.2,55,29,3.4,—
S44,2010,1,9,20,26.8,—,18.8,61.6,23,2.8,—
S44,2010,1,9,21,25.9,—,20.3,71.3,11,1.8,—
S44,2010,1,9,22,25.3,—,20.4,74.1,22,2.2,—
S44,2010,1,9,23,24.9,—,20.5,76.4,28,3.1,—
S44,2010,1,9,24,24.8,—,20.6,77.8,24,2.4,—
S44,2010,1,10,1,24.7,—,20.9,79.5,339,1.2,—
S44,2010,1,10,2,24.3,—,20.9,81.3,351,1.2,—
S44,2010,1,10,3,23.7,—,20.9,84.3,8,1.5,—
S44,2010,1,10,4,23.4,—,21.1,86.6,19,1.8,—
S44,2010,1,10,5,23.6,—,20.9,85,22,2.4,—
S44,2010,1,10,6,23.6,—,20.9,85,5,1.5,—
S44,2010,1,10,7,23.5,—,20.8,84.4,10,1.6,—
S44,2010,1,10,8,23.8,—,20.8,83.2,6,1.2,—
S44,2010,1,10,9,25.3,—,20.8,76.2,32,1.5,—
S44,2010,1,10,10,27.7,—,21,67,22,1.7,—
S44,2010,1,10,11,27.5,—,20.6,66.1,20,2.5,—
S44,2010,1,10,12,28.6,—,20.9,63.2,15,1.8,—
S44,2010,1,10,13,29.4,—,19.3,54.8,19,2.5,—
S44,2010,1,10,14,30.3,—,19.2,51.6,340,1.9,—
S44,2010,1,10,15,30.8,—,18.5,47.9,334,1.7,—
S44,2010,1,10,16,32.2,—,17.6,41.9,351,1.5,—
S44,2010,1,10,17,29.4,—,21.3,61.7,180,1.4,—
S44,2010,1,10,18,28.4,—,21.6,67,216,1.6,—
S44,2010,1,10,19,29.1,—,21.4,63.2,324,0.9,—
S44,2010,1,10,20,27.2,—,19.9,64.3,35,2.3,—
S44,2010,1,10,21,26.7,—,20.1,67.3,29,2.1,—
S44,2010,1,10,22,26,—,20.5,72,41,2.3,—
S44,2010,1,10,23,25.4,—,21,76.5,31,2.3,—
S44,2010,1,10,24,25,—,21.1,79.1,16,1.9,—
S44,2010,1,11,1,24.8,—,21.2,80.6,13,1.7,—
S44,2010,1,11,2,24.3,—,21.4,83.8,9,1.7,—
S44,2010,1,11,3,24.2,—,21.2,83.4,2,1.6,—
S44,2010,1,11,4,24.3,—,21.1,82.6,354,1.6,—
S44,2010,1,11,5,23.8,—,21.6,87.5,356,1.5,—
S44,2010,1,11,6,23.5,—,21.5,88.4,354,1.7,—
S44,2010,1,11,7,23.7,—,21.5,87.3,9,1.6,—
S44,2010,1,11,8,24.1,—,21.7,86.1,18,1.8,—
S44,2010,1,11,9,26,—,21.7,77,25,1.7,—
S44,2010,1,11,10,27.9,—,21.1,66.8,23,1.7,—
S44,2010,1,11,11,28.9,—,21,62.2,5,2,—
S44,2010,1,11,12,29.9,—,19.5,53.9,20,2.1,—
S44,2010,1,11,13,30.9,—,19.5,50.8,21,1.8,—
S44,2010,1,11,14,31.8,—,19.2,47.5,358,1.6,—
S44,2010,1,11,15,31.2,—,19,48.4,349,1.8,—
S44,2010,1,11,16,31.5,—,19,47.5,5,1.8,—
S44,2010,1,11,17,30,—,21.9,61.9,253,1.2,—
S44,2010,1,11,18,30.5,—,21.5,58.6,205,1,—
S44,2010,1,11,19,29.3,—,21,60.8,234,1.1,—
S44,2010,1,11,20,28,—,20.7,64.2,6,1.9,—
S44,2010,1,11,21,26.9,—,21.5,72.3,39,2.4,—
S44,2010,1,11,22,26,—,21.7,77.5,34,2.6,—
S44,2010,1,11,23,25.6,—,21.6,78.7,22,2.3,—
S44,2010,1,11,24,25.4,—,21.7,80.4,27,2.7,—
S44,2010,1,12,1,24.9,—,22,83.7,34,3,—
S44,2010,1,12,2,24.9,—,22.2,84.8,31,2.9,—
S44,2010,1,12,3,24.5,—,22.3,87.6,21,2.6,—
S44,2010,1,12,4,24.2,—,22.2,88.3,20,2.3,—
S44,2010,1,12,5,23.9,—,22.1,89.7,24,2.5,—
S44,2010,1,12,6,23.9,—,22.1,89.9,23,2.1,—
S44,2010,1,12,7,23.8,—,22.1,90.2,26,2.3,—
S44,2010,1,12,8,24.4,—,22.3,88.1,27,2.1,—
S44,2010,1,12,9,26.4,—,22.1,77.3,26,2.2,—
S44,2010,1,12,10,27.5,—,22.2,72.5,20,2.2,—
S44,2010,1,12,11,28.7,—,21.2,63.9,16,2.6,—
S44,2010,1,12,12,30.2,—,20,54.7,15,2,—
S44,2010,1,12,13,30.8,—,19.7,51.8,3,2,—
S44,2010,1,12,14,31.6,—,17.6,43.2,0,1.5,—
S44,2010,1,12,15,30.4,—,20.9,57,220,1.6,—
S44,2010,1,12,16,23,—,21.8,93.2,86,3.2,—
S44,2010,1,12,17,24.2,—,22.7,91.1,303,1.4,—
S44,2010,1,12,18,25,—,22.8,87.8,356,0.6,—
S44,2010,1,12,19,25.4,—,23.1,87,47,1.4,—
S44,2010,1,12,20,25.8,—,21.8,78.7,40,3.6,—
S44,2010,1,12,21,25.6,—,21.3,77.2,30,3.1,—
S44,2010,1,12,22,25.5,—,21.2,77,25,2.8,—
S44,2010,1,12,23,25.3,—,21.6,79.9,21,2.2,—
S44,2010,1,12,24,25.2,—,21.7,81.2,25,2.9,—
S44,2010,1,13,1,25,—,21.8,82,5,1.6,—
S44,2010,1,13,2,24.8,—,21.8,83.5,2,1.7,—
S44,2010,1,13,3,24.7,—,21.9,84.1,347,1.1,—
S44,2010,1,13,4,24.6,—,21.9,85.1,328,1,—
S44,2010,1,13,5,24.6,—,21.9,85.1,341,1.1,—
S44,2010,1,13,6,24.6,—,22.1,86.3,304,1,—
S44,2010,1,13,7,24.5,—,22.3,87.9,304,1.6,—
S44,2010,1,13,8,24.6,—,22,85.4,318,1.8,—
S44,2010,1,13,9,25.1,—,22.4,85,336,1.3,—
S44,2010,1,13,10,26.1,—,22.4,80.1,10,1.7,—
S44,2010,1,13,11,28,—,21.4,67.4,32,2.3,—
S44,2010,1,13,12,29.2,—,20.2,58.4,36,2.5,—
S44,2010,1,13,13,29.2,—,20,57.6,40,3.3,—
S44,2010,1,13,14,29.7,—,19.6,54.5,35,2.6,—
S44,2010,1,13,15,27.3,—,20.7,67.3,22,2.8,—
S44,2010,1,13,16,27.4,—,19.4,61.7,32,3.4,—
S44,2010,1,13,17,27.6,—,20.8,66.6,34,3,—
S44,2010,1,13,18,26.9,—,20.6,68.5,28,3.2,—
S44,2010,1,13,19,26.5,—,21,71.6,28,3.1,—
S44,2010,1,13,20,26.3,—,20.6,71,24,2.6,—
S44,2010,1,13,21,26,—,20.9,73.5,17,1.9,—
S44,2010,1,13,22,25.5,—,21.6,78.8,13,1.6,—
S44,2010,1,13,23,25.4,—,21.5,79,7,1.6,—
S44,2010,1,13,24,25.3,—,21.4,79,13,1.6,—
S44,2010,1,14,1,25.2,—,21.3,79.1,10,1.3,—
S44,2010,1,14,2,25.1,—,21.6,80.9,10,1.1,—
S44,2010,1,14,3,24.9,—,21.6,81.6,335,0.8,—
S44,2010,1,14,4,25,—,21.5,81,8,1,—
S44,2010,1,14,5,24.6,—,21.7,84,13,1.6,—
S44,2010,1,14,6,24.6,—,21.6,83.5,6,1.3,—
S44,2010,1,14,7,24.4,—,21.8,85.7,10,1.5,—
S44,2010,1,14,8,24.5,—,21.9,85.6,356,1.4,—
S44,2010,1,14,9,26.1,—,21.9,77.7,358,1.5,—
S44,2010,1,14,10,27.6,—,21.5,69.1,30,2.7,—
S44,2010,1,14,11,28,—,21.3,67.1,26,3.3,—
S44,2010,1,14,12,29.5,—,19.4,54.5,31,4.3,—
S44,2010,1,14,13,28.8,—,19.2,56.4,36,3.8,—
S44,2010,1,14,14,29.4,—,17.7,49.3,36,3.8,—
S44,2010,1,14,15,29.5,—,18.3,51,34,4.5,—
S44,2010,1,14,16,28.5,—,19.2,57.1,22,2.6,—
S44,2010,1,14,17,26.8,—,20.4,68.1,5,2.2,—
S44,2010,1,14,18,24.4,—,21.2,82.3,28,2,—
S44,2010,1,14,19,25.2,—,21.5,79.9,28,2.2,—
S44,2010,1,14,20,25.4,—,21.3,77.9,28,2.9,—
S44,2010,1,14,21,25.8,—,20.9,74.5,27,2.9,—
S44,2010,1,14,22,25.5,—,21,76.3,12,2,—
S44,2010,1,14,23,24.9,—,21.1,79.3,21,2.6,—
S44,2010,1,14,24,24.8,—,20.4,76.5,21,2.3,—
S44,2010,1,15,1,24.5,—,20.2,76.8,28,2.8,—
S44,2010,1,15,2,24.3,—,20,76.7,21,2.5,—
S44,2010,1,15,3,24,—,20,78.4,29,2.7,—
S44,2010,1,15,4,23.7,—,20.1,80.2,17,2.4,—
S44,2010,1,15,5,23.6,—,19.9,79.6,15,2.2,—
S44,2010,1,15,6,23.7,—,19.8,78.8,21,2.6,—
S44,2010,1,15,7,23.6,—,19.9,79.4,17,2.2,—
S44,2010,1,15,8,24.1,—,20.1,78.5,23,2.3,—
S44,2010,1,15,9,25.9,—,20.1,70.7,18,1.6,—
S44,2010,1,15,10,27.3,—,20,64.4,23,2.5,—
S44,2010,1,15,11,28.8,—,18.3,53.1,24,3,—
S44,2010,1,15,12,29.8,—,18.7,51.5,27,2.8,—
S44,2010,1,15,13,29.8,—,18.3,50.3,26,2.7,—
S44,2010,1,15,14,29.5,—,18.6,52,11,2.4,—
S44,2010,1,15,15,29.1,—,19,54.6,24,2.3,—
S44,2010,1,15,16,28.8,—,19.7,58,38,2.6,—
S44,2010,1,15,17,27.7,—,20,62.8,32,2.3,—
S44,2010,1,15,18,27.2,—,20.2,65.3,31,2.8,—
S44,2010,1,15,19,26.9,—,20.4,67.6,30,2.6,—
S44,2010,1,15,20,26.3,—,20.3,70,38,3.5,—
S44,2010,1,15,21,25.8,—,20.5,72.4,39,3.7,—
S44,2010,1,15,22,25.6,—,20.7,74.5,36,3,—
S44,2010,1,15,23,25.3,—,20.9,76.6,24,2.2,—
S44,2010,1,15,24,25,—,20.8,77.5,18,1.9,—
S44,2010,1,16,1,25,—,20.6,76.8,7,1.6,—
S44,2010,1,16,2,24.6,—,20.7,78.9,7,1.6,—
S44,2010,1,16,3,24.3,—,20.6,79.7,15,1.7,—
S44,2010,1,16,4,24.2,—,20.6,80.2,2,1.2,—
S44,2010,1,16,5,24.2,—,20.3,79.1,332,1.1,—
S44,2010,1,16,6,24.1,—,20.4,80.2,348,0.9,—
S44,2010,1,16,7,24.2,—,20,77.9,12,1.5,—
S44,2010,1,16,8,24.3,—,20.4,78.8,10,1.5,—
S44,2010,1,16,9,25.3,—,20.5,74.8,29,2.4,—
S44,2010,1,16,10,26.9,—,20.1,66.3,23,3.1,—
S44,2010,1,16,11,27.8,—,19.4,60.2,21,4.6,—
S44,2010,1,16,12,29.1,—,18.8,53.9,18,3.8,—
S44,2010,1,16,13,30,—,18.6,50.3,12,2.9,—
S44,2010,1,16,14,29.7,—,18.9,52.4,9,2.5,—
S44,2010,1,16,15,28.8,—,19.6,57.4,17,2.8,—
S44,2010,1,16,16,30.1,—,18.5,49.8,4,2.5,—
S44,2010,1,16,17,29.1,—,19.3,55.5,12,2.3,—
S44,2010,1,16,18,29.3,—,18.1,51.1,9,2.4,—
S44,2010,1,16,19,27.7,—,19.1,59.5,11,2.3,—
S44,2010,1,16,20,26.7,—,19.2,63.8,23,2.5,—
S44,2010,1,16,21,26,—,18.7,64,23,2.1,—
S44,2010,1,16,22,25.5,—,18.7,66.1,24,2.8,—
S44,2010,1,16,23,25,—,19.5,71.7,15,2.4,—
S44,2010,1,16,24,24.6,—,20.2,76.7,19,2.4,—
S44,2010,1,17,1,24.5,—,20.3,77.3,24,3.1,—
S44,2010,1,17,2,24.3,—,20.3,78.6,20,2.6,—
S44,2010,1,17,3,23.9,—,20.3,80.5,10,1.8,—
S44,2010,1,17,4,23.6,—,20.2,81.4,13,2.2,—
S44,2010,1,17,5,23.4,—,20.2,82.4,21,2.7,—
S44,2010,1,17,6,23.5,—,20.2,81.7,18,2.5,—
S44,2010,1,17,7,23.3,—,20.2,82.6,14,2.3,—
S44,2010,1,17,8,23.8,—,20.2,80.7,8,2.1,—
S44,2010,1,17,9,25.3,—,20.8,76.2,6,1.8,—
S44,2010,1,17,10,26.4,—,20.6,70.3,9,2.4,—
S44,2010,1,17,11,27.6,—,20.8,66.6,5,2.6,—
S44,2010,1,17,12,29,—,19.9,58.1,353,2.3,—
S44,2010,1,17,13,29.3,—,19.8,56.4,357,2.4,—
S44,2010,1,17,14,29.7,—,20.3,57.1,3,2.2,—
S44,2010,1,17,15,30.2,—,20,54.6,20,2.5,—
S44,2010,1,17,16,31,—,18.8,48.3,6,2.5,—
S44,2010,1,17,17,30.7,—,18.4,48.1,11,2.2,—
S44,2010,1,17,18,29.7,—,18,49.3,10,2.1,—
S44,2010,1,17,19,28.7,—,18.3,53.4,10,2.5,—
S44,2010,1,17,20,27.3,—,19.2,61.3,25,4.1,—
S44,2010,1,17,21,26.6,—,19.5,65.2,25,3.5,—
S44,2010,1,17,22,26,—,20.1,70.1,26,3.1,—
S44,2010,1,17,23,25.6,—,20.3,72.4,23,2.9,—
S44,2010,1,17,24,25.3,—,20.7,75.3,21,2.6,—
S44,2010,1,18,1,25,—,20.7,77,17,2.6,—
S44,2010,1,18,2,24.9,—,20.5,76.8,22,3.3,—
S44,2010,1,18,3,25,—,20.4,75.7,23,3.1,—
S44,2010,1,18,4,24.5,—,20.7,79.7,13,2,—
S44,2010,1,18,5,24.5,—,20.8,80.3,14,2.4,—
S44,2010,1,18,6,24.4,—,21,81.2,352,1.8,—
S44,2010,1,18,7,24.1,—,21,83.3,6,1.9,—
